i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1477-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1478-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
1481-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361
1483-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1.791759469
1486-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1.609437912
1494-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1.098612289
1495-001-01,2020-21,Dar Es Salaam,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1.386294361
1497-001-01,2020-21,Dar Es Salaam,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1.791759469
1498-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
1499-001-01,2020-21,Dar Es Salaam,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1.609437912
1500-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1500-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
1500-001-03,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1501-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1.386294361
1501-001-04,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1514-001-01,2020-21,Dar Es Salaam,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1.386294361
1515-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1.386294361
1517-001-01,2020-21,Dar Es Salaam,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1.386294361
1518-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
1519-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1.609437912
1519-001-03,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
1520-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1.609437912
1520-001-05,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1532-001-01,2020-21,Dar Es Salaam,1,0,0,1,1,1,1,0,1,0,0,1,1,0,2.079441542
1533-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1534-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1.609437912
1536-001-01,2020-21,Dar Es Salaam,0,0,1,2,1,0,0,1,1,0,0,1,1,0,2.079441542
1537-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1.609437912
1538-001-01,2020-21,Dar Es Salaam,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1.386294361
1539-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1.386294361
1541-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.098612289
1551-001-01,2020-21,Dar Es Salaam,1,0,1,0,1,2,0,0,0,0,1,1,0,0,1.945910149
1552-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
1553-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1553-001-03,2020-21,Dar Es Salaam,0,0,2,1,0,0,0,0,3,2,0,0,0,0,2.079441542
1554-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1554-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1555-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.098612289
1556-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,2,0,2,0,1,1,0,0,2.079441542
1557-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,2,1,1,0,1,1,0,2.079441542
1557-001-03,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
1557-001-07,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1559-001-01,2020-21,Dar Es Salaam,2,0,0,0,0,1,0,1,0,2,1,0,1,1,2.197224577
1571-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1572-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,2,1,1,0,1,1,1.945910149
1572-001-04,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
